CustomerID,Age,Gender,MaritalStatus,IncomeLevel,TotalSpend,AvgSpend,NumTransactions,LastTransaction,UniqueProducts,NumInteractions,LastInteraction,IssuesUnresolved,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus
20,41,M,Single,Low,2775.85,308.42777777777775,9,2022-12-17,5,1.0,2022-07-19,0.0,2023-08-15,16,Website,0
21,64,M,Divorced,High,913.02,182.60399999999998,5,2022-08-02,2,,,,2023-06-16,18,Website,0
22,42,F,Divorced,Low,1582.73,263.78833333333336,6,2022-10-19,4,2.0,2022-08-06,0.0,2023-05-06,42,Mobile App,0
23,35,F,Divorced,Low,1490.74,372.685,4,2022-11-07,2,2.0,2022-03-18,1.0,2023-07-07,19,Mobile App,0
24,55,M,Widowed,Medium,1143.22,228.644,5,2022-12-12,4,1.0,2022-11-02,0.0,2023-10-04,12,Mobile App,0
25,43,F,Married,Low,764.77,254.92333333333332,3,2022-10-07,2,1.0,2022-12-06,0.0,2023-02-15,27,Mobile App,0
26,31,M,Single,Medium,571.76,190.58666666666667,3,2022-12-28,3,1.0,2022-12-12,0.0,2023-09-29,45,Mobile App,1
27,26,M,Widowed,Medium,2210.6,276.325,8,2022-11-10,5,1.0,2022-06-13,1.0,2023-10-01,22,Mobile App,0
28,27,F,Widowed,High,1702.26,283.71,6,2022-12-18,3,2.0,2022-12-01,2.0,2023-10-26,42,Online Banking,0
29,38,F,Divorced,Medium,853.0699999999999,284.3566666666666,3,2022-09-24,2,2.0,2022-09-13,1.0,2023-09-02,34,Website,0
30,69,M,Divorced,High,706.66,353.33,2,2022-09-17,2,2.0,2022-10-16,1.0,2023-07-12,38,Website,0
31,34,M,Divorced,Low,1108.56,221.712,5,2022-12-09,3,2.0,2022-06-18,0.0,2023-08-17,23,Online Banking,0
32,69,F,Married,High,1225.52,245.10399999999998,5,2022-10-04,4,,,,2023-01-06,48,Mobile App,0
33,23,M,Divorced,High,689.0,344.5,2,2022-11-07,2,1.0,2022-05-30,0.0,2023-05-19,24,Mobile App,1
34,33,M,Widowed,High,1886.4,209.60000000000002,9,2022-12-22,4,2.0,2022-07-02,1.0,2023-04-03,44,Online Banking,0
35,65,M,Married,Low,779.8399999999999,259.94666666666666,3,2022-09-08,3,1.0,2022-07-07,1.0,2023-05-23,19,Mobile App,0
36,18,F,Widowed,Low,1321.5500000000002,220.25833333333335,6,2022-10-27,4,1.0,2022-10-28,0.0,2023-02-11,6,Online Banking,0
37,36,F,Married,Medium,3166.88,351.8755555555556,9,2022-12-07,4,1.0,2022-03-20,0.0,2023-08-28,3,Online Banking,0
38,53,F,Married,Low,874.86,291.62,3,2022-12-05,2,1.0,2022-03-25,0.0,2023-11-27,47,Online Banking,0
39,42,M,Married,Medium,1191.94,238.388,5,2022-12-11,3,,,,2023-01-20,26,Online Banking,0
40,67,F,Widowed,Low,1578.3500000000001,225.47857142857146,7,2022-08-02,3,1.0,2022-11-23,0.0,2023-10-14,20,Website,0
41,69,F,Married,High,363.22,181.61,2,2022-02-15,2,1.0,2022-02-26,1.0,2023-07-04,38,Mobile App,1
42,47,M,Widowed,Medium,530.61,176.87,3,2022-10-21,2,,,,2023-07-17,10,Mobile App,0
43,37,M,Single,Low,2213.63,316.23285714285714,7,2022-11-02,4,2.0,2022-11-16,1.0,2023-05-25,25,Mobile App,0
44,37,F,Widowed,Low,687.8199999999999,229.2733333333333,3,2022-11-23,2,1.0,2022-04-18,1.0,2023-11-13,35,Mobile App,0
45,32,F,Widowed,Low,300.42,300.42,1,2022-12-23,1,1.0,2022-06-25,1.0,2023-09-02,49,Online Banking,0
46,57,F,Married,High,134.67,134.67,1,2022-08-20,1,,,,2023-07-31,24,Online Banking,1
47,50,F,Married,Medium,1466.37,209.48142857142855,7,2022-11-19,5,,,,2023-04-19,21,Website,0
48,19,M,Divorced,Medium,1597.29,228.18428571428572,7,2022-12-09,5,,,,2023-06-12,34,Website,0
49,27,F,Single,Medium,641.48,213.82666666666668,3,2022-06-07,3,,,,2023-02-19,18,Online Banking,0
50,50,F,Single,Low,1514.62,378.655,4,2022-12-09,3,2.0,2022-11-03,2.0,2023-07-15,19,Online Banking,0
51,49,M,Divorced,Medium,549.86,183.28666666666666,3,2022-07-20,3,,,,2023-10-31,3,Mobile App,1
52,28,M,Widowed,Medium,401.25,401.25,1,2022-02-17,1,,,,2023-02-16,6,Mobile App,0
53,41,F,Widowed,Low,1255.34,179.3342857142857,7,2022-12-28,4,,,,2023-10-02,20,Mobile App,0
54,53,F,Married,Low,461.21000000000004,230.60500000000002,2,2022-07-04,2,2.0,2022-11-21,0.0,2023-01-20,22,Online Banking,0
55,29,F,Single,Low,1129.35,225.86999999999998,5,2022-09-06,3,,,,2023-08-18,33,Website,0
56,68,F,Married,Low,1443.46,288.692,5,2022-12-15,4,,,,2023-08-20,14,Mobile App,0
57,46,F,Divorced,High,597.75,199.25,3,2022-11-28,3,1.0,2022-12-07,1.0,2023-07-20,44,Online Banking,0
58,52,M,Single,High,2215.82,369.30333333333334,6,2022-11-18,4,2.0,2022-07-17,2.0,2023-04-17,9,Online Banking,0
59,18,M,Married,Medium,292.51,97.50333333333333,3,2022-12-01,2,,,,2023-12-11,45,Online Banking,0
60,18,F,Single,High,781.09,195.2725,4,2022-12-20,4,2.0,2022-06-08,1.0,2023-03-02,25,Mobile App,0
61,54,M,Single,Low,678.97,226.32333333333335,3,2022-10-11,2,1.0,2022-04-10,0.0,2023-12-27,47,Website,1
62,23,F,Married,High,840.0,210.0,4,2022-11-26,4,2.0,2022-12-27,0.0,2023-08-27,16,Mobile App,0
63,56,M,Married,Low,2205.11,245.01222222222225,9,2022-12-13,5,,,,2023-05-26,7,Mobile App,0
64,58,F,Single,High,965.21,321.7366666666667,3,2022-12-18,3,,,,2023-06-03,11,Online Banking,0
65,35,F,Divorced,Low,1359.8899999999999,271.97799999999995,5,2022-11-17,3,,,,2023-09-25,27,Mobile App,0
66,33,M,Widowed,Medium,1409.11,176.13875,8,2022-12-21,4,,,,2023-08-17,40,Online Banking,0
67,22,F,Single,Medium,701.76,175.44,4,2022-11-09,2,2.0,2022-05-21,0.0,2023-07-23,17,Online Banking,0
68,59,F,Divorced,High,886.4799999999999,221.61999999999998,4,2022-11-06,4,2.0,2022-06-06,2.0,2023-07-25,5,Website,1
69,60,F,Single,Low,1038.53,259.6325,4,2022-12-04,3,1.0,2022-10-05,0.0,2023-11-13,29,Mobile App,0
70,49,F,Married,Medium,2453.98,350.56857142857143,7,2022-12-13,4,,,,2023-03-15,10,Mobile App,0
71,19,F,Divorced,Low,474.59000000000003,158.1966666666667,3,2022-11-03,2,2.0,2022-04-13,1.0,2023-08-17,47,Online Banking,1
72,19,F,Divorced,High,1080.4,180.0666666666667,6,2022-11-22,3,2.0,2022-01-08,1.0,2023-04-25,25,Online Banking,1
73,57,M,Single,Low,2254.22,250.46888888888887,9,2022-11-16,3,1.0,2022-08-15,0.0,2023-10-27,24,Online Banking,1
74,59,M,Widowed,Low,2083.79,260.47375,8,2022-08-27,5,1.0,2022-03-02,0.0,2023-02-19,44,Mobile App,0
75,53,F,Single,High,769.97,192.4925,4,2022-12-31,4,1.0,2022-08-21,0.0,2023-06-17,12,Mobile App,1
76,56,F,Widowed,Medium,883.92,220.98,4,2022-12-07,2,2.0,2022-11-18,1.0,2023-05-09,5,Website,1
77,29,M,Divorced,High,1797.06,224.6325,8,2022-12-04,3,,,,2023-10-15,29,Online Banking,0
78,64,M,Widowed,Low,816.89,272.2966666666667,3,2022-04-16,2,1.0,2022-11-23,1.0,2023-10-07,35,Mobile App,0
79,36,M,Married,High,931.3199999999999,310.44,3,2022-12-14,2,1.0,2022-01-28,0.0,2023-04-20,23,Online Banking,1
80,45,M,Widowed,High,110.82,110.82,1,2022-04-05,1,,,,2023-06-09,32,Mobile App,0
81,18,F,Widowed,Low,2181.77,272.72125,8,2022-08-31,4,,,,2023-12-03,40,Website,1
82,32,F,Divorced,High,232.38,232.38,1,2022-02-01,1,,,,2023-05-08,19,Mobile App,0
83,53,M,Widowed,Medium,1419.9199999999998,236.6533333333333,6,2022-10-15,4,2.0,2022-04-22,2.0,2023-12-31,25,Mobile App,0
84,30,M,Divorced,Medium,1545.91,309.182,5,2022-12-15,4,,,,2023-11-30,45,Online Banking,0
85,60,M,Married,High,1690.08,187.78666666666666,9,2022-12-06,4,,,,2023-08-08,37,Mobile App,0
86,38,M,Married,Low,1674.6599999999999,239.23714285714283,7,2022-12-02,3,,,,2023-10-18,1,Website,0
87,29,F,Single,High,1411.84,282.368,5,2022-12-26,4,2.0,2022-12-10,1.0,2023-11-22,43,Website,0
88,22,M,Single,High,447.34000000000003,223.67000000000002,2,2022-08-13,2,,,,2023-02-08,13,Online Banking,0
89,24,M,Single,Medium,1951.99,278.85571428571427,7,2022-10-12,4,,,,2023-09-06,12,Mobile App,0
90,22,M,Married,Medium,1229.96,204.99333333333334,6,2022-12-30,4,1.0,2022-09-04,0.0,2023-05-30,47,Online Banking,0
91,65,F,Widowed,Low,1804.74,200.52666666666667,9,2022-10-28,5,2.0,2022-05-24,1.0,2023-02-03,43,Mobile App,0
92,21,F,Divorced,Low,2265.28,283.16,8,2022-12-09,5,2.0,2022-10-06,1.0,2023-07-01,37,Mobile App,0
93,30,F,Married,Low,848.07,169.614,5,2022-12-10,3,2.0,2022-10-07,0.0,2023-10-16,42,Mobile App,0
94,54,M,Widowed,High,1113.6100000000001,371.2033333333334,3,2022-12-29,2,,,,2023-06-27,41,Website,0
95,58,F,Single,High,677.27,225.75666666666666,3,2022-11-07,3,1.0,2022-07-30,0.0,2023-06-20,12,Online Banking,0
96,32,F,Divorced,High,161.84,161.84,1,2022-08-24,1,2.0,2022-02-20,2.0,2023-02-27,36,Mobile App,0
97,33,M,Single,High,553.65,276.825,2,2022-09-11,1,2.0,2022-08-11,0.0,2023-12-20,38,Website,0
98,38,F,Divorced,Low,893.76,178.752,5,2022-11-11,4,1.0,2022-11-28,0.0,2023-05-23,9,Mobile App,0
99,53,M,Widowed,Low,889.75,177.95,5,2022-11-09,4,,,,2023-02-10,14,Online Banking,0
100,41,F,Married,Low,1108.56,277.14,4,2022-12-27,2,2.0,2022-12-01,0.0,2023-06-02,45,Online Banking,1
101,33,F,Single,High,492.35,492.35,1,2022-06-08,1,2.0,2022-10-21,1.0,2023-01-15,35,Online Banking,0
102,31,M,Married,High,2029.96,338.32666666666665,6,2022-12-30,4,2.0,2022-10-30,1.0,2023-01-14,32,Online Banking,0
103,39,M,Widowed,Low,2297.73,255.30333333333334,9,2022-12-20,4,2.0,2022-12-25,0.0,2023-04-27,46,Mobile App,0
104,66,F,Widowed,Medium,2666.84,296.3155555555556,9,2022-12-19,4,2.0,2022-04-22,1.0,2023-03-23,3,Online Banking,1
105,67,F,Widowed,Low,1863.6,232.95,8,2022-12-20,3,2.0,2022-10-16,2.0,2023-12-24,30,Website,0
106,23,M,Married,High,875.08,291.6933333333333,3,2022-11-29,3,2.0,2022-05-21,1.0,2023-07-20,49,Mobile App,0
107,59,F,Married,High,1542.76,257.12666666666667,6,2022-11-26,4,,,,2023-01-27,7,Online Banking,1
108,53,M,Divorced,Low,494.30999999999995,247.15499999999997,2,2022-10-18,2,2.0,2022-11-13,2.0,2023-03-24,1,Mobile App,1
109,18,M,Married,Medium,1274.7,212.45000000000002,6,2022-12-24,5,2.0,2022-12-11,2.0,2023-04-28,20,Mobile App,0
110,49,M,Married,Medium,723.0,241.0,3,2022-11-13,3,2.0,2022-12-05,0.0,2023-10-10,25,Website,1
111,23,F,Widowed,High,613.1800000000001,306.59000000000003,2,2022-10-09,2,1.0,2022-03-05,1.0,2023-06-17,33,Website,1
112,48,F,Divorced,High,750.17,250.05666666666664,3,2022-12-29,3,1.0,2022-03-09,0.0,2023-10-16,35,Website,0
113,18,F,Married,High,1834.01,262.00142857142856,7,2022-10-19,4,1.0,2022-08-16,1.0,2023-04-12,44,Online Banking,0
114,67,F,Married,Low,2133.28,266.66,8,2022-12-04,5,,,,2023-08-02,24,Website,0
115,68,F,Widowed,High,653.62,130.724,5,2022-09-22,4,,,,2023-09-21,14,Mobile App,0
116,54,M,Married,High,1504.28,214.89714285714285,7,2022-12-20,3,1.0,2022-05-26,0.0,2023-08-20,39,Mobile App,0
117,52,F,Widowed,High,448.48,224.24,2,2022-12-27,2,,,,2023-12-25,44,Online Banking,0
118,66,M,Divorced,Medium,1625.39,270.89833333333337,6,2022-12-18,4,1.0,2022-02-02,1.0,2023-10-01,34,Online Banking,0
119,47,M,Widowed,Medium,2012.3300000000002,251.54125000000002,8,2022-11-04,5,2.0,2022-02-26,0.0,2023-03-29,18,Mobile App,1
120,21,F,Widowed,High,1168.79,194.79833333333332,6,2022-12-29,3,2.0,2022-11-07,1.0,2023-02-23,2,Online Banking,0
121,52,M,Divorced,Medium,1073.01,214.602,5,2022-11-22,4,2.0,2022-12-06,1.0,2023-09-09,38,Mobile App,0
122,60,F,Single,Medium,2825.52,313.94666666666666,9,2022-12-16,5,1.0,2022-04-01,0.0,2023-06-14,17,Mobile App,1
123,31,M,Widowed,Medium,938.58,312.86,3,2022-12-16,2,2.0,2022-11-11,0.0,2023-03-15,23,Mobile App,1
124,66,M,Married,Medium,2283.88,326.2685714285714,7,2022-11-27,4,2.0,2022-12-25,0.0,2023-02-19,33,Website,0
125,57,M,Widowed,Low,744.89,372.445,2,2022-08-30,2,,,,2023-06-21,28,Online Banking,0
126,39,F,Divorced,Medium,2323.02,258.11333333333334,9,2022-11-12,4,,,,2023-05-14,15,Website,0
127,27,F,Married,Medium,1976.17,247.02125,8,2022-12-31,4,1.0,2022-04-28,0.0,2023-01-18,11,Website,0
128,18,F,Divorced,Medium,630.2,315.1,2,2022-05-06,2,2.0,2022-08-17,1.0,2023-07-07,23,Website,1
129,28,F,Widowed,Medium,243.55,121.775,2,2022-11-29,2,1.0,2022-05-10,0.0,2023-03-21,13,Website,0
130,68,M,Divorced,Low,552.23,276.115,2,2022-11-07,1,1.0,2022-09-06,1.0,2023-02-25,47,Mobile App,0
131,61,F,Divorced,Low,2726.7,340.8375,8,2022-10-05,5,1.0,2022-12-03,0.0,2023-09-24,11,Website,0
132,41,F,Single,High,1879.94,208.88222222222223,9,2022-10-19,5,,,,2023-06-15,36,Website,0
133,20,M,Widowed,Medium,896.27,224.0675,4,2022-08-29,2,1.0,2022-08-12,0.0,2023-04-13,38,Mobile App,0
134,52,M,Widowed,Medium,1570.08,261.68,6,2022-12-29,4,1.0,2022-04-26,1.0,2023-01-05,27,Mobile App,0
135,53,F,Widowed,High,441.75,220.875,2,2022-05-24,2,,,,2023-06-19,18,Mobile App,0
136,48,M,Widowed,Low,419.86,209.93,2,2022-12-30,2,,,,2023-11-07,40,Mobile App,0
137,21,F,Married,High,431.47,431.47,1,2022-06-19,1,,,,2023-06-19,38,Online Banking,1
138,36,M,Divorced,Low,2804.65,350.58125,8,2022-10-10,4,1.0,2022-02-28,1.0,2023-03-20,34,Online Banking,0
139,64,F,Widowed,High,2045.49,292.21285714285716,7,2022-07-22,2,2.0,2022-07-18,1.0,2023-06-03,22,Website,0
140,53,M,Married,High,1024.23,341.41,3,2022-09-12,2,1.0,2022-04-27,0.0,2023-10-21,18,Mobile App,0
141,38,F,Widowed,Medium,2483.75,354.82142857142856,7,2022-12-04,4,2.0,2022-05-23,0.0,2023-06-28,41,Online Banking,0
142,35,M,Divorced,High,1391.99,278.398,5,2022-11-30,3,1.0,2022-03-04,1.0,2023-04-27,18,Mobile App,0
143,68,F,Widowed,Low,343.27,171.635,2,2022-03-08,1,1.0,2022-12-07,0.0,2023-12-25,13,Website,0
144,45,F,Married,Low,419.85,419.85,1,2022-10-27,1,1.0,2022-07-15,0.0,2023-02-18,39,Online Banking,1
145,32,F,Married,High,1768.7,353.74,5,2022-12-18,2,2.0,2022-10-27,2.0,2023-10-11,16,Online Banking,0
146,59,F,Divorced,Low,1373.73,274.746,5,2022-12-24,4,,,,2023-12-12,8,Mobile App,0
147,19,F,Widowed,High,2260.34,282.5425,8,2022-11-27,4,2.0,2022-11-19,1.0,2023-09-02,34,Mobile App,0
148,54,F,Married,Medium,13.04,13.04,1,2022-12-03,1,2.0,2022-06-12,1.0,2023-03-09,29,Website,0
149,28,M,Single,Medium,444.84,444.84,1,2022-04-28,1,1.0,2022-03-15,0.0,2023-02-17,6,Online Banking,0
150,40,F,Widowed,Medium,1193.26,149.1575,8,2022-12-13,5,,,,2023-06-29,38,Mobile App,0
151,61,M,Single,Medium,334.2,334.2,1,2022-12-20,1,2.0,2022-11-21,1.0,2023-06-02,36,Mobile App,0
152,58,F,Married,High,1448.8,206.97142857142856,7,2022-12-13,3,,,,2023-09-30,48,Mobile App,0
153,29,M,Married,Low,1735.16,347.03200000000004,5,2022-10-10,4,1.0,2022-08-04,1.0,2023-01-26,42,Online Banking,0
154,20,F,Divorced,High,1753.55,250.50714285714284,7,2022-08-14,3,,,,2023-04-19,26,Mobile App,0
155,69,M,Divorced,Low,1883.08,235.385,8,2022-10-19,4,2.0,2022-11-24,0.0,2023-04-08,18,Website,0
156,34,F,Widowed,High,702.9200000000001,100.41714285714286,7,2022-06-25,4,,,,2023-06-30,11,Mobile App,0
157,50,M,Married,Low,2412.6800000000003,344.66857142857145,7,2022-11-09,4,,,,2023-06-13,27,Mobile App,0
158,18,F,Married,Low,1471.29,210.18428571428572,7,2022-10-21,5,,,,2023-10-03,30,Online Banking,0
159,56,M,Married,High,25.75,25.75,1,2022-03-30,1,2.0,2022-04-12,2.0,2023-05-11,18,Website,0
160,37,M,Married,Medium,2053.13,256.64125,8,2022-12-13,4,2.0,2022-07-19,1.0,2023-05-02,43,Online Banking,1
161,64,M,Single,High,1983.84,330.64,6,2022-09-01,4,1.0,2022-06-26,1.0,2023-07-24,4,Mobile App,0
162,60,F,Married,Medium,425.88,141.96,3,2022-08-16,3,2.0,2022-11-27,1.0,2023-06-11,6,Mobile App,0
163,69,M,Divorced,High,1064.88,354.96000000000004,3,2022-12-07,3,2.0,2022-10-15,1.0,2023-01-13,22,Mobile App,0
164,58,F,Widowed,Low,955.49,191.098,5,2022-10-19,3,1.0,2022-12-06,0.0,2023-11-25,2,Website,1
165,31,F,Widowed,Medium,181.34,181.34,1,2022-10-07,1,,,,2023-03-01,47,Mobile App,0
166,48,F,Widowed,Low,1241.5,248.3,5,2022-12-08,3,1.0,2022-11-12,0.0,2023-08-03,48,Online Banking,0
167,42,F,Single,Low,2356.35,294.54375,8,2022-12-27,5,1.0,2022-12-04,0.0,2023-03-03,40,Website,0
168,20,M,Married,Low,1126.93,281.7325,4,2022-05-21,3,2.0,2022-09-16,1.0,2023-08-29,32,Website,1
169,21,F,Widowed,High,2164.75,240.52777777777777,9,2022-12-15,4,1.0,2022-07-09,1.0,2023-06-18,39,Mobile App,0
170,48,M,Divorced,Low,1448.33,206.9042857142857,7,2022-12-22,4,1.0,2022-01-05,1.0,2023-10-12,21,Website,1
171,52,F,Single,High,2532.71,361.8157142857143,7,2022-09-21,5,1.0,2022-09-16,0.0,2023-05-04,8,Mobile App,0
172,61,M,Married,Medium,1972.76,328.79333333333335,6,2022-11-26,3,2.0,2022-07-01,1.0,2023-12-12,25,Website,0
173,31,F,Married,Low,606.09,202.03,3,2022-10-10,2,1.0,2022-11-14,0.0,2023-10-22,41,Mobile App,0
174,66,F,Married,Medium,1801.46,257.3514285714286,7,2022-12-08,4,1.0,2022-03-30,1.0,2023-03-09,36,Mobile App,1
175,58,M,Married,Medium,1218.9,174.12857142857143,7,2022-10-30,4,2.0,2022-03-20,1.0,2023-11-27,4,Website,0
176,26,F,Single,High,936.78,156.13,6,2022-12-18,4,,,,2023-09-23,15,Website,1
177,37,F,Divorced,Medium,429.79,429.79,1,2022-09-12,1,1.0,2022-02-09,1.0,2023-03-05,28,Website,0
178,49,F,Married,High,741.63,247.21,3,2022-12-15,2,,,,2023-05-06,20,Website,0
179,26,F,Single,High,412.58000000000004,206.29000000000002,2,2022-02-22,2,,,,2023-09-06,38,Website,0
180,44,F,Single,Medium,1985.93,283.70428571428573,7,2022-12-12,4,,,,2023-01-30,6,Online Banking,0
181,20,F,Divorced,Medium,715.6800000000001,357.84000000000003,2,2022-12-11,1,,,,2023-04-22,30,Mobile App,0
182,21,F,Single,Medium,1491.65,298.33000000000004,5,2022-10-23,4,2.0,2022-11-25,0.0,2023-06-12,32,Online Banking,0
183,62,F,Single,High,1135.44,378.48,3,2022-10-23,1,1.0,2022-02-03,0.0,2023-04-21,49,Online Banking,1
184,32,M,Widowed,High,97.19,48.595,2,2022-09-26,2,,,,2023-04-14,41,Online Banking,0
185,50,F,Widowed,Medium,1284.89,214.14833333333334,6,2022-12-17,4,2.0,2022-10-22,0.0,2023-10-23,4,Online Banking,0
186,22,M,Divorced,High,460.87,153.62333333333333,3,2022-06-14,2,,,,2023-10-18,35,Mobile App,0
187,21,F,Widowed,Medium,513.26,256.63,2,2022-11-11,2,2.0,2022-11-17,0.0,2023-01-09,30,Mobile App,0
188,63,M,Single,High,1768.25,294.7083333333333,6,2022-12-01,5,2.0,2022-09-13,1.0,2023-03-29,49,Mobile App,0
189,29,M,Single,High,574.4699999999999,191.48999999999998,3,2022-07-04,3,2.0,2022-09-03,1.0,2023-06-21,41,Mobile App,0
190,40,M,Divorced,Low,1417.97,202.56714285714287,7,2022-11-02,3,1.0,2022-06-08,1.0,2023-04-01,22,Website,1
191,31,F,Single,Low,1942.65,277.5214285714286,7,2022-11-15,5,2.0,2022-03-29,1.0,2023-02-15,2,Website,0
192,63,F,Divorced,Medium,1172.53,390.8433333333333,3,2022-12-08,2,2.0,2022-11-26,1.0,2023-07-07,12,Website,0
193,29,M,Widowed,Low,270.34,270.34,1,2022-07-29,1,2.0,2022-10-16,1.0,2023-05-11,34,Website,0
194,34,F,Widowed,High,1388.97,277.794,5,2022-09-12,3,,,,2023-10-23,34,Website,0
195,42,F,Married,Medium,1711.71,285.285,6,2022-07-09,3,2.0,2022-09-16,1.0,2023-03-07,14,Website,0
196,47,M,Widowed,Low,2134.16,266.77,8,2022-12-22,5,2.0,2022-04-27,2.0,2023-01-22,39,Website,0
197,39,F,Married,Medium,925.4300000000001,231.35750000000002,4,2022-12-08,3,2.0,2022-07-15,1.0,2023-03-16,39,Online Banking,1
198,64,M,Married,Medium,1461.25,208.75,7,2022-11-23,4,,,,2023-06-21,45,Online Banking,0
199,43,M,Married,High,1270.25,211.70833333333334,6,2022-11-21,3,2.0,2022-11-16,1.0,2023-01-08,6,Website,0
200,34,F,Single,Low,1702.06,283.6766666666667,6,2022-11-04,3,2.0,2022-11-16,0.0,2023-02-10,8,Online Banking,0
201,37,M,Married,High,956.5799999999999,318.85999999999996,3,2022-03-16,3,2.0,2022-08-21,1.0,2023-08-14,27,Online Banking,1
202,51,F,Widowed,Medium,336.18,336.18,1,2022-06-14,1,2.0,2022-09-14,0.0,2023-03-07,12,Mobile App,0
203,58,F,Divorced,Medium,1767.9,294.65000000000003,6,2022-12-18,4,2.0,2022-08-28,0.0,2023-04-16,21,Website,0
204,50,F,Widowed,Medium,454.14,227.07,2,2022-08-15,2,2.0,2022-07-07,1.0,2023-05-08,38,Online Banking,0
205,54,F,Divorced,Low,741.9699999999999,185.49249999999998,4,2022-12-24,3,,,,2023-01-27,4,Mobile App,0
206,24,M,Widowed,High,99.58,99.58,1,2022-09-13,1,,,,2023-11-27,25,Mobile App,0
207,39,F,Divorced,High,1799.17,224.89625,8,2022-11-26,4,,,,2023-03-28,43,Website,0
208,49,F,Widowed,Low,436.89,218.445,2,2022-03-13,1,,,,2023-06-03,24,Online Banking,0
209,31,F,Divorced,High,1328.06,332.015,4,2022-12-05,4,,,,2023-10-12,12,Mobile App,0
210,25,M,Married,High,1727.27,246.75285714285715,7,2022-10-19,4,,,,2023-07-24,29,Online Banking,0
211,42,M,Divorced,Medium,1222.21,203.70166666666668,6,2022-12-17,3,,,,2023-03-03,35,Online Banking,0
212,33,F,Married,Medium,1047.61,149.6585714285714,7,2022-12-28,5,1.0,2022-11-01,0.0,2023-06-14,37,Website,0
213,59,F,Widowed,Medium,2092.89,298.9842857142857,7,2022-12-25,3,1.0,2022-01-13,0.0,2023-02-23,30,Website,1
214,36,F,Divorced,Low,734.1,367.05,2,2022-03-11,2,,,,2023-11-02,41,Online Banking,0
215,58,F,Divorced,Medium,1343.7,223.95000000000002,6,2022-12-15,4,2.0,2022-11-24,2.0,2023-11-07,42,Online Banking,0
216,33,F,Widowed,High,1570.8600000000001,314.172,5,2022-10-18,3,2.0,2022-12-13,0.0,2023-09-06,35,Mobile App,0
217,29,M,Married,Low,2576.78,322.0975,8,2022-11-25,4,1.0,2022-04-03,1.0,2023-08-14,1,Online Banking,1
218,56,F,Married,High,1766.57,252.36714285714285,7,2022-12-18,4,,,,2023-06-12,40,Mobile App,0
219,65,M,Single,Low,1624.32,406.08,4,2022-10-06,3,,,,2023-07-18,26,Online Banking,0
220,47,M,Single,High,1030.46,343.4866666666667,3,2022-07-26,2,,,,2023-11-12,35,Online Banking,0
